Номер,Article Title,Source,Words,Persistent URL
2,Ради городской среды,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):2",328,https://dlib.eastview.com/browse/doc/56876060
2,Числа Петербурга,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):2",70,https://dlib.eastview.com/browse/doc/56876062
2,В поисках ЮМП,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):3",283,https://dlib.eastview.com/browse/doc/56876068
2,Групповой портрет с пуделем,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):3",469,https://dlib.eastview.com/browse/doc/56876065
2,Опасные дамские игры,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):3",238,https://dlib.eastview.com/browse/doc/56876067
2,Театр Марта,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):3",351,https://dlib.eastview.com/browse/doc/56876069
2,Шахматный турнир среди книголюбов пройдет в Петербурге,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):3",82,https://dlib.eastview.com/browse/doc/56876064
2,Близнецы теперь в цене,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):4",600,https://dlib.eastview.com/browse/doc/56876073
2,Возвращение Курца,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):4",787,https://dlib.eastview.com/browse/doc/56876071
2,Мы и наши соседи,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):4",345,https://dlib.eastview.com/browse/doc/56876072
2,Торговое перемирие,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):4",947,https://dlib.eastview.com/browse/doc/56876074
2,Вариации Барановского,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):5",344,https://dlib.eastview.com/browse/doc/56876076
2,Забытая пианистка,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):5",781,https://dlib.eastview.com/browse/doc/56876078
2,Море разливанное,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):5",521,https://dlib.eastview.com/browse/doc/56876077
2,Сколько стоит лед?,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):5",510,https://dlib.eastview.com/browse/doc/56876075
2,Дотянуть до Берлина,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):6",876,https://dlib.eastview.com/browse/doc/56876079
2,Болейте на здоровье,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):7",102,https://dlib.eastview.com/browse/doc/56876082
2,"СКА принимает ""приветы""","Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):7",890,https://dlib.eastview.com/browse/doc/56876080
2,Фигуристы запаса,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):7",727,https://dlib.eastview.com/browse/doc/56876081
2,Гавану покажут на Васильевском,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):8",354,https://dlib.eastview.com/browse/doc/56876083
2,Рыбу с гормонами остановили,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):8",150,https://dlib.eastview.com/browse/doc/56876084
2,С нашим паспортом по миру,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):8",132,https://dlib.eastview.com/browse/doc/56876085
2,Хайнань примет еще больше россиян,"Sankt-Peterburgskie vedomosti, No.2, January 10, 2020, page(s):8",185,https://dlib.eastview.com/browse/doc/56876086
3,100 000 виз за 92 дня,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):1",720,https://dlib.eastview.com/browse/doc/56904997
3,В Крыму поддержат бизнес,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):1",113,https://dlib.eastview.com/browse/doc/56904993
3,Зачет по физкультуре,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):1",137,https://dlib.eastview.com/browse/doc/56904995
3,Нефтяникам - родное оборудование,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):1",96,https://dlib.eastview.com/browse/doc/56904992
3,Пенсии по новому плану,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):1",137,https://dlib.eastview.com/browse/doc/56904994
3,Петербург. Платные услуги населению,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):1",93,https://dlib.eastview.com/browse/doc/56904996
3,"Тарифный ""взрыв""","Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):1",488,https://dlib.eastview.com/browse/doc/56904998
3,Шушары с обременением,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):1",396,https://dlib.eastview.com/browse/doc/56904999
3,Где мусор подешевеет,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):2",186,https://dlib.eastview.com/browse/doc/56905003
3,Когда ресторан не по карману,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):2",104,https://dlib.eastview.com/browse/doc/56905004
3,Кто разгонит мрак,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):2",730,https://dlib.eastview.com/browse/doc/56905002
3,Первоцветы... января,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):2",214,https://dlib.eastview.com/browse/doc/56905006
3,Числа Петербурга,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):2",91,https://dlib.eastview.com/browse/doc/56905005
3,Кожа старой Европы,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):3",605,https://dlib.eastview.com/browse/doc/56905008
3,Плюс к пожизненному,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):3",364,https://dlib.eastview.com/browse/doc/56905012
3,Разгулялись на острове,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):3",94,https://dlib.eastview.com/browse/doc/56905009
3,Спортплощадка в деревне,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):3",208,https://dlib.eastview.com/browse/doc/56905011
3,Считая километры и рубли,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):3",384,https://dlib.eastview.com/browse/doc/56905010
3,Три дерева на высоте,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):3",651,https://dlib.eastview.com/browse/doc/56905007
3,Наследники Комара,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):4",1166,https://dlib.eastview.com/browse/doc/56905015
3,Тринадцать платьев императрицы,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):4",703,https://dlib.eastview.com/browse/doc/56905013
3,Банкротство по-царски,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):5",415,https://dlib.eastview.com/browse/doc/56905019
3,Наши регионы. Пищепром+,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):5",92,https://dlib.eastview.com/browse/doc/56905016
3,Оттенки серого от робота-художника,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):5",244,https://dlib.eastview.com/browse/doc/56905020
3,Самобранка на новый лад,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):5",1232,https://dlib.eastview.com/browse/doc/56905018
3,Цена максимума,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):5",494,https://dlib.eastview.com/browse/doc/56905017
3,Долгострою дали год,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):6",226,https://dlib.eastview.com/browse/doc/56905022
3,Еда по доктрине,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):6",1436,https://dlib.eastview.com/browse/doc/56905024
3,По краю рва,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):6",434,https://dlib.eastview.com/browse/doc/56905023
3,Учет в аршинах,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):6",509,https://dlib.eastview.com/browse/doc/56905021
3,Арбитров рассудит венгр,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):7",896,https://dlib.eastview.com/browse/doc/56905025
3,Отдал часы за номер,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):7",969,https://dlib.eastview.com/browse/doc/56905028
3,Погостили на славу,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):7",817,https://dlib.eastview.com/browse/doc/56905027
3,"""Торфяновка"" бьет рекорды","Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):8",179,https://dlib.eastview.com/browse/doc/56905029
3,Ближний Восток: война откладывается?,"Sankt-Peterburgskie vedomosti, No.3, January 13, 2020, page(s):8",1006,https://dlib.eastview.com/browse/doc/56905030
4,Lada бьет рекорды,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):1",157,https://dlib.eastview.com/browse/doc/56916015
4,Блокадники едины,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):1",431,https://dlib.eastview.com/browse/doc/56916019
4,Ленинградская область. Платные услуги населению,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):1",95,https://dlib.eastview.com/browse/doc/56916016
4,Отдохнули - и в Доху,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):1",881,https://dlib.eastview.com/browse/doc/56916018
4,Поручение Минздраву,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):1",85,https://dlib.eastview.com/browse/doc/56916012
4,Просвещение учителей,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):1",169,https://dlib.eastview.com/browse/doc/56916014
4,Путеводные контракты,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):1",579,https://dlib.eastview.com/browse/doc/56916017
4,Спецпрепараты детям,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):1",90,https://dlib.eastview.com/browse/doc/56916013
4,"Ни проезда, ни надзора","Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):2",808,https://dlib.eastview.com/browse/doc/56916026
4,О чем молчит сквер,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):2",708,https://dlib.eastview.com/browse/doc/56916025
4,По камням к замку,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):2",201,https://dlib.eastview.com/browse/doc/56916022
4,"Премии скромные, но почетные","Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):2",238,https://dlib.eastview.com/browse/doc/56916023
4,Числа Петербурга,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):2",48,https://dlib.eastview.com/browse/doc/56916024
4,"""Батман тандю! Гран плие!""","Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):3",423,https://dlib.eastview.com/browse/doc/56916027
4,Вандалы покусились на русалок,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):3",62,https://dlib.eastview.com/browse/doc/56916031
4,Забор на две копейки,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):3",318,https://dlib.eastview.com/browse/doc/56916032
4,Красоту заключили в крепость,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):3",520,https://dlib.eastview.com/browse/doc/56916033
4,По городу в наушниках и с гидом,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):3",171,https://dlib.eastview.com/browse/doc/56916029
4,Следствию не хватило мощностей,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):3",310,https://dlib.eastview.com/browse/doc/56916030
4,"""Сериальный взрыв"" разлет осколков","Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):4",800,https://dlib.eastview.com/browse/doc/56916036
4,Голицыны не забывают Петербург,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):4",754,https://dlib.eastview.com/browse/doc/56916034
4,Охотны к перемене мест,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):4",126,https://dlib.eastview.com/browse/doc/56916038
4,"Петербуржцы смогут оплатить госпошлину в ""окнах"" МФЦ","Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):4",366,https://dlib.eastview.com/browse/doc/56916035
4,Эконеделя,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):4",301,https://dlib.eastview.com/browse/doc/56916037
4,Дефицит покроем квалификацией,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):5",676,https://dlib.eastview.com/browse/doc/56916044
4,"Долги, которые пахнут","Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):5",414,https://dlib.eastview.com/browse/doc/56916043
4,Зарплаты голосуют за технологии,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):5",892,https://dlib.eastview.com/browse/doc/56916039
4,Плюсы и минусы фриланса,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):5",238,https://dlib.eastview.com/browse/doc/56916040
4,С буквой W на пиджаке,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):5",247,https://dlib.eastview.com/browse/doc/56916042
4,Аргументы фабриканта,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):6",514,https://dlib.eastview.com/browse/doc/56916047
4,Мечта о наукограде,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):6",1431,https://dlib.eastview.com/browse/doc/56916045
4,"Мостостроители уехали, баня осталась","Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):6",187,https://dlib.eastview.com/browse/doc/56916046
4,ВАР добрался до тенниса,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):7",868,https://dlib.eastview.com/browse/doc/56916051
4,Шахматы по футбольной модели,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):7",659,https://dlib.eastview.com/browse/doc/56916048
4,Ливийский гамбит,"Sankt-Peterburgskie vedomosti, No.4, January 14, 2020, page(s):8",983,https://dlib.eastview.com/browse/doc/56916052
5,Госуслуги в режиме онлайн,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):1",324,https://dlib.eastview.com/browse/doc/56937259
5,Кто от нас едет в Давос,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):1",125,https://dlib.eastview.com/browse/doc/56937253
5,Пенал принца Каджара,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):1",750,https://dlib.eastview.com/browse/doc/56937258
5,Петербург. Ввод жилья по районам,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):1",104,https://dlib.eastview.com/browse/doc/56937256
5,Пожалуйте в апартаменты,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):1",703,https://dlib.eastview.com/browse/doc/56937257
5,"Порт ""Усть-Луга"" стал вторым","Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):1",138,https://dlib.eastview.com/browse/doc/56937255
5,Послание Федеральному собранию,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):1",139,https://dlib.eastview.com/browse/doc/56937252
5,Цены на пшеницу растут,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):1",98,https://dlib.eastview.com/browse/doc/56937254
5,Золотом по меди,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):2",213,https://dlib.eastview.com/browse/doc/56937262
5,Лисьи хитрости застройщика,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):2",115,https://dlib.eastview.com/browse/doc/56937264
5,Мужик нашел борсетку...,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):2",298,https://dlib.eastview.com/browse/doc/56937265
5,Числа Петербурга,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):2",70,https://dlib.eastview.com/browse/doc/56937263
5,Вечный свет и покой,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):3",451,https://dlib.eastview.com/browse/doc/56937268
5,Джаз в исполнении Матисса,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):3",296,https://dlib.eastview.com/browse/doc/56937270
5,Летопись российского обжига,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):3",639,https://dlib.eastview.com/browse/doc/56937266
5,Мы ответим на ваши вопросы,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):3",727,https://dlib.eastview.com/browse/doc/56937269
5,OCK идет в Петербург,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):4",359,https://dlib.eastview.com/browse/doc/56937273
5,Надпись на книге,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):4",119,https://dlib.eastview.com/browse/doc/56937272
5,Сколько у тебя времени - самый важный вопрос,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):4",1516,https://dlib.eastview.com/browse/doc/56937271
5,Кого коснется маркировка,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):5",443,https://dlib.eastview.com/browse/doc/56937274
5,Лесной порядок,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):5",415,https://dlib.eastview.com/browse/doc/56937277
5,Наши регионы. Легпром +,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):5",96,https://dlib.eastview.com/browse/doc/56937275
5,Новое пришествие валенок,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):5",1228,https://dlib.eastview.com/browse/doc/56937276
5,Экспорт с поддержкой,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):5",311,https://dlib.eastview.com/browse/doc/56937278
5,Голоса из прошлого,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):6",70,https://dlib.eastview.com/browse/doc/56937281
5,Первый выстрел,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):6",1728,https://dlib.eastview.com/browse/doc/56937279
5,"Царь эфиопский, герой оперы","Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):6",392,https://dlib.eastview.com/browse/doc/56937280
5,Девушки примеряют бутсы,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):7",920,https://dlib.eastview.com/browse/doc/56937282
5,Катастрофы на потоке,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):7",728,https://dlib.eastview.com/browse/doc/56937284
5,"Хоккей, не старей!","Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):7",1017,https://dlib.eastview.com/browse/doc/56937285
5,Госдума обозначила приоритеты,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):8",261,https://dlib.eastview.com/browse/doc/56937286
5,"Маша и Медведь на крыльях ""России""","Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):8",155,https://dlib.eastview.com/browse/doc/56937287
5,Монархию покидают молодые,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):8",230,https://dlib.eastview.com/browse/doc/56937289
5,Не путать диод с идиотом,"Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):8",315,https://dlib.eastview.com/browse/doc/56937288
5,"Номинанты на ""Оскар""","Sankt-Peterburgskie vedomosti, No.5, January 15, 2020, page(s):8",134,https://dlib.eastview.com/browse/doc/56937290
6,Аист принес Амура и Искру,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):1",80,https://dlib.eastview.com/browse/doc/56957795
6,В Россию - за карьерой,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):1",135,https://dlib.eastview.com/browse/doc/56957793
6,Вперед - вместе!,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):1",1970,https://dlib.eastview.com/browse/doc/56957797
6,И генплан позеленеет,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):1",490,https://dlib.eastview.com/browse/doc/56957798
6,Ленинградская область. Ввод жилья по районам,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):1",104,https://dlib.eastview.com/browse/doc/56957796
6,Ливией займутся в Берлине,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):1",88,https://dlib.eastview.com/browse/doc/56957794
6,Правительство подало в отставку,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):1",250,https://dlib.eastview.com/browse/doc/56957792
6,Территория риска,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):1",558,https://dlib.eastview.com/browse/doc/56957799
6,О влиянии коммуникаций на адресацию,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):2",1172,https://dlib.eastview.com/browse/doc/56957803
6,Осетр гонится за килькой,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):2",434,https://dlib.eastview.com/browse/doc/56957802
6,Добровольцы заодно со спасателями,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):3",581,https://dlib.eastview.com/browse/doc/56957806
6,Культура-2020 на берегах Невы,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):3",182,https://dlib.eastview.com/browse/doc/56957804
6,Эконеделя,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):3",274,https://dlib.eastview.com/browse/doc/56957808
6,Эхо античной колонизации,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):3",372,https://dlib.eastview.com/browse/doc/56957805
6,Вспомнить всех поименно,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):4",1094,https://dlib.eastview.com/browse/doc/56957809
6,Дым без огня,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):4",792,https://dlib.eastview.com/browse/doc/56957810
6,Награда за внимательность,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):4",100,https://dlib.eastview.com/browse/doc/56957811
6,От Рафаэля до наших дней,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):5",590,https://dlib.eastview.com/browse/doc/56957812
6,Романтики и обманщики,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):5",1057,https://dlib.eastview.com/browse/doc/56957814
6,Хармс возвращается,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):5",701,https://dlib.eastview.com/browse/doc/56957813
6,"Жить стало ""веселее""...","Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):6",102,https://dlib.eastview.com/browse/doc/56957818
6,Мама знала...,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):6",710,https://dlib.eastview.com/browse/doc/56957815
6,"Сколько хочу, столько плачу","Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):6",741,https://dlib.eastview.com/browse/doc/56957817
6,"Услышь меня, чиновник!","Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):6",1431,https://dlib.eastview.com/browse/doc/56957816
6,"""Зенит"" выбирает","Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):7",942,https://dlib.eastview.com/browse/doc/56957819
6,Олимпиада для тинейджеров,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):7",765,https://dlib.eastview.com/browse/doc/56957821
6,Шуга-пуга от молодых,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):7",919,https://dlib.eastview.com/browse/doc/56957822
6,"""Рязаночка"" на китайских прилавках","Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):8",206,https://dlib.eastview.com/browse/doc/56957824
6,Зеленый континент поблек,"Sankt-Peterburgskie vedomosti, No.6, January 16, 2020, page(s):8",234,https://dlib.eastview.com/browse/doc/56957825
7,Звучание научного оркестра,"Sankt-Peterburgskie vedomosti, No.7, January 17, 2020, page(s):1",2132,https://dlib.eastview.com/browse/doc/56970337
7,Крещение без проруби,"Sankt-Peterburgskie vedomosti, No.7, January 17, 2020, page(s):1",652,https://dlib.eastview.com/browse/doc/56970336
7,Мир аграриев в Берлине,"Sankt-Peterburgskie vedomosti, No.7, January 17, 2020, page(s):1",155,https://dlib.eastview.com/browse/doc/56970334
